imo,typnum,visit_num,start,end,Deadweight,ShiptypeLevel5,type,number,time_difference,port_name
9601223.0,berth1,0,2020-08-12 21:43:09,2020-08-14 02:19:42,158322.0,Crude Oil Tanker,berth,1,1 days 04:36:33,MONGSTAD
9760500.0,berth1,0,2022-06-14 13:17:21,2022-06-15 07:43:04,106359.0,Crude Oil Tanker,berth,1,0 days 18:25:43,MONGSTAD
9783007.0,berth1,0,2022-05-27 23:26:32,2022-05-28 16:22:30,112038.0,Crude Oil Tanker,berth,1,0 days 16:55:58,MONGSTAD
9795127.0,berth1,0,2020-01-04 13:02:07,2020-01-05 12:16:24,157512.0,Crude Oil Tanker,berth,1,0 days 23:14:17,MONGSTAD
9745926.0,berth2,0,2020-08-04 23:44:47,2020-08-05 20:40:55,109896.0,Crude/Oil Products Tanker,berth,2,0 days 20:56:08,MONGSTAD
9745926.0,berth2,1,2020-11-09 22:41:57,2020-11-10 18:22:11,109896.0,Crude/Oil Products Tanker,berth,2,0 days 19:40:14,MONGSTAD
9745926.0,berth2,2,2020-12-02 21:23:44,2020-12-03 17:34:12,109896.0,Crude/Oil Products Tanker,berth,2,0 days 20:10:28,MONGSTAD
9892432.0,berth2,0,2022-02-02 19:38:12,2022-02-03 17:55:33,112459.0,Crude Oil Tanker,berth,2,0 days 22:17:21,MONGSTAD
9892432.0,berth2,1,2022-06-28 10:11:47,2022-06-29 10:33:53,112459.0,Crude Oil Tanker,berth,2,1 days 00:22:06,MONGSTAD
9892432.0,berth2,2,2022-11-06 13:31:35,2022-11-07 10:21:47,112459.0,Crude Oil Tanker,berth,2,0 days 20:50:12,MONGSTAD
9306794.0,berth3,0,2021-03-03 09:32:17,2021-03-04 04:11:08,109987.0,Crude Oil Tanker,berth,3,0 days 18:38:51,MONGSTAD
9306794.0,berth3,1,2021-10-02 14:59:36,2021-10-03 12:41:43,109987.0,Crude Oil Tanker,berth,3,0 days 21:42:07,MONGSTAD
9306794.0,berth3,2,2021-11-05 10:23:38,2021-11-07 13:21:09,109987.0,Crude Oil Tanker,berth,3,2 days 02:57:31,MONGSTAD
9310525.0,berth3,0,2021-02-25 20:02:08,2021-02-27 10:42:16,115338.0,Crude Oil Tanker,berth,3,1 days 14:40:08,MONGSTAD
9703320.0,berth4,0,2021-06-06 21:34:50,2021-06-07 18:17:20,109900.0,Crude/Oil Products Tanker,berth,4,0 days 20:42:30,MONGSTAD
9703320.0,berth4,1,2021-06-21 21:51:41,2021-06-22 17:21:30,109900.0,Crude/Oil Products Tanker,berth,4,0 days 19:29:49,MONGSTAD
9724350.0,berth4,0,2020-06-24 21:40:41,2020-06-25 17:06:08,112939.0,Crude Oil Tanker,berth,4,0 days 19:25:27,MONGSTAD
9724350.0,berth4,1,2020-07-18 01:47:17,2020-07-19 00:18:39,112939.0,Crude Oil Tanker,berth,4,0 days 22:31:22,MONGSTAD
9724350.0,berth4,2,2020-11-23 08:41:58,2020-11-24 08:37:07,112939.0,Crude Oil Tanker,berth,4,0 days 23:55:09,MONGSTAD
9724350.0,berth4,3,2021-01-24 22:28:40,2021-01-27 08:22:41,112939.0,Crude Oil Tanker,berth,4,2 days 09:54:01,MONGSTAD
9724350.0,berth4,4,2021-03-02 10:12:15,2021-03-03 12:24:15,112939.0,Crude Oil Tanker,berth,4,1 days 02:12:00,MONGSTAD
9724350.0,berth4,5,2021-08-08 12:04:30,2021-08-09 21:43:27,112939.0,Crude Oil Tanker,berth,4,1 days 09:38:57,MONGSTAD
9724350.0,berth4,6,2021-08-31 02:13:39,2021-09-01 01:37:39,112939.0,Crude Oil Tanker,berth,4,0 days 23:24:00,MONGSTAD
9724350.0,berth4,7,2022-09-20 11:41:54,2022-09-21 07:16:46,112939.0,Crude Oil Tanker,berth,4,0 days 19:34:52,MONGSTAD
9724350.0,berth4,8,2022-11-29 13:47:20,2022-11-30 12:22:47,112939.0,Crude Oil Tanker,berth,4,0 days 22:35:27,MONGSTAD
,berth3,4,2020-02-02 06:15:00,2020-02-07 15:33:46,,,berth,3,5 days 09:18:46,MONGSTAD
,berth3,5,2020-03-02 17:19:48,2020-03-06 00:41:48,,,berth,3,3 days 07:22:00,MONGSTAD
,berth3,6,2020-03-19 00:24:13,2020-03-21 10:05:05,,,berth,3,2 days 09:40:52,MONGSTAD
,berth3,7,2020-03-27 23:30:53,2020-03-31 10:20:46,,,berth,3,3 days 10:49:53,MONGSTAD
,berth3,8,2020-04-08 22:08:44,2020-04-12 13:25:58,,,berth,3,3 days 15:17:14,MONGSTAD
,berth3,9,2020-04-20 11:46:31,2020-04-25 21:44:26,,,berth,3,5 days 09:57:55,MONGSTAD
,berth3,10,2020-05-01 12:52:54,2020-05-02 08:07:05,,,berth,3,0 days 19:14:11,MONGSTAD
,berth3,13,2020-05-25 19:27:54,2020-05-29 15:06:19,,,berth,3,3 days 19:38:25,MONGSTAD
,berth3,14,2020-06-10 18:32:41,2020-06-12 06:01:46,,,berth,3,1 days 11:29:05,MONGSTAD
,berth3,15,2020-07-08 07:05:41,2020-07-09 09:30:25,,,berth,3,1 days 02:24:44,MONGSTAD
,berth3,18,2020-09-08 01:29:21,2020-09-12 21:48:05,,,berth,3,4 days 20:18:44,MONGSTAD
,berth3,21,2020-11-06 05:21:42,2020-11-09 00:57:46,,,berth,3,2 days 19:36:04,MONGSTAD
,berth3,28,2021-12-28 10:25:25,2022-01-01 01:41:42,,,berth,3,3 days 15:16:17,MONGSTAD
,berth3,30,2022-01-23 15:30:19,2022-01-28 11:45:57,,,berth,3,4 days 20:15:38,MONGSTAD
,berth3,32,2022-03-20 01:08:45,2022-03-23 14:03:24,,,berth,3,3 days 12:54:39,MONGSTAD
,berth3,40,2022-08-08 00:43:07,2022-08-13 16:58:23,,,berth,3,5 days 16:15:16,MONGSTAD
,berth3,44,2022-10-28 18:44:15,2022-10-30 04:54:33,,,berth,3,1 days 10:10:18,MONGSTAD
,berth3,46,2022-12-08 02:13:20,2022-12-12 22:21:12,,,berth,3,4 days 20:07:52,MONGSTAD
,berth3,47,2022-12-18 12:04:51,2022-12-20 22:47:12,,,berth,3,2 days 10:42:21,MONGSTAD
9337004.0,berth1,0,2020-01-18 02:48:30,2020-01-19 17:15:40,150393.0,Crude Oil Tanker,berth,1,1 days 14:27:10,MONGSTAD
9779812.0,berth1,0,2020-12-23 08:49:45,2020-12-24 20:16:45,298968.0,Crude Oil Tanker,berth,1,1 days 11:27:00,MONGSTAD
9358541.0,berth2,0,2020-02-16 11:33:24,2020-02-18 06:33:55,105365.0,Crude Oil Tanker,berth,2,1 days 19:00:31,MONGSTAD
9358541.0,berth2,1,2021-02-10 08:32:35,2021-02-11 08:17:39,105365.0,Crude Oil Tanker,berth,2,0 days 23:45:04,MONGSTAD
9358541.0,berth2,2,2021-03-09 22:50:48,2021-03-11 08:23:14,105365.0,Crude Oil Tanker,berth,2,1 days 09:32:26,MONGSTAD
9358541.0,berth2,3,2021-04-12 21:41:55,2021-04-13 21:20:32,105365.0,Crude Oil Tanker,berth,2,0 days 23:38:37,MONGSTAD
9829100.0,berth2,1,2020-03-05 21:15:06,2020-03-06 16:08:55,114218.0,Crude/Oil Products Tanker,berth,2,0 days 18:53:49,MONGSTAD
